"Hours since thread went live","Boukyaku Battery • Oblivion Battery - Episode 6 discussion"
0,2
0.08333333333333333,2
0.16666666666666666,2
0.25,2
0.3333333333333333,2
0.4166666666666667,3
0.5,3
0.5833333333333334,5
0.6666666666666666,6
0.75,8
0.8333333333333334,10
0.9166666666666666,11
1,12
1.0833333333333333,13
1.1666666666666667,14
1.25,15
1.3333333333333333,17
1.4166666666666667,16
1.5,20
1.5833333333333333,23
1.6666666666666667,25
1.75,25
1.8333333333333333,23
1.9166666666666667,23
2,27
2.0833333333333335,24
2.1666666666666665,26
2.25,27
2.3333333333333335,24
2.4166666666666665,25
2.5,26
2.5833333333333335,27
2.6666666666666665,28
2.75,31
2.8333333333333335,32
2.9166666666666665,33
3,33
3.0833333333333335,34
3.1666666666666665,33
3.25,32
3.3333333333333335,33
3.4166666666666665,32
3.5,35
3.5833333333333335,38
3.6666666666666665,37
3.75,35
3.8333333333333335,39
3.9166666666666665,39
4,40
4.083333333333333,39
4.166666666666667,39
4.25,39
4.333333333333333,37
4.416666666666667,36
4.5,39
4.583333333333333,38
4.666666666666667,43
4.75,39
4.833333333333333,41
4.916666666666667,45
5,46
5.083333333333333,48
5.166666666666667,45
5.25,44
5.333333333333333,48
5.416666666666667,51
5.5,46
5.583333333333333,48
5.666666666666667,51
5.75,51
5.833333333333333,52
5.916666666666667,55
6,51
6.083333333333333,48
6.166666666666667,56
6.25,50
6.333333333333333,50
6.416666666666667,51
6.5,50
6.583333333333333,50
6.666666666666667,49
6.75,51
6.833333333333333,53
6.916666666666667,53
7,54
7.083333333333333,52
7.166666666666667,49
7.25,53
7.333333333333333,53
7.416666666666667,57
7.5,52
7.583333333333333,57
7.666666666666667,53
7.75,56
7.833333333333333,57
7.916666666666667,56
8,55
8.083333333333334,53
8.166666666666666,57
8.25,57
8.333333333333334,56
8.416666666666666,56
8.5,52
8.583333333333334,55
8.666666666666666,53
8.75,53
8.833333333333334,55
8.916666666666666,54
9,53
9.083333333333334,55
9.166666666666666,59
9.25,57
9.333333333333334,58
9.416666666666666,60
9.5,62
9.583333333333334,63
9.666666666666666,60
9.75,63
9.833333333333334,61
9.916666666666666,62
10,67
10.083333333333334,65
10.166666666666666,71
10.25,71
10.333333333333334,67
10.416666666666666,70
10.5,68
10.583333333333334,67
10.666666666666666,69
10.75,67
10.833333333333334,72
10.916666666666666,68
11,73
11.083333333333334,70
11.166666666666666,70
11.25,69
11.333333333333334,73
11.416666666666666,74
11.5,71
11.583333333333334,71
11.666666666666666,70
11.75,70
11.833333333333334,74
11.916666666666666,71
12,75
12.083333333333334,71
12.166666666666666,76
12.25,77
12.333333333333334,75
12.416666666666666,72
12.5,73
12.583333333333334,74
12.666666666666666,79
12.75,74
12.833333333333334,77
12.916666666666666,75
13,80
13.083333333333334,75
13.166666666666666,76
13.25,77
13.333333333333334,79
13.416666666666666,76
13.5,81
13.583333333333334,76
13.666666666666666,76
13.75,77
13.833333333333334,80
13.916666666666666,81
14,81
14.083333333333334,82
14.166666666666666,85
14.25,82
14.333333333333334,82
14.416666666666666,80
14.5,80
14.583333333333334,80
14.666666666666666,83
14.75,80
14.833333333333334,79
14.916666666666666,83
15,85
15.083333333333334,86
15.166666666666666,86
15.25,88
15.333333333333334,86
15.416666666666666,85
15.5,83
15.583333333333334,82
15.666666666666666,88
15.75,88
15.833333333333334,89
15.916666666666666,85
16,86
16.083333333333332,85
16.166666666666668,82
16.25,83
16.333333333333332,82
16.416666666666668,86
16.5,85
16.583333333333332,85
16.666666666666668,86
16.75,87
16.833333333333332,84
16.916666666666668,87
17,89
17.083333333333332,87
17.166666666666668,88
17.25,89
17.333333333333332,88
17.416666666666668,88
17.5,91
17.583333333333332,89
17.666666666666668,89
17.75,89
17.833333333333332,87
17.916666666666668,90
18,91
18.083333333333332,92
18.166666666666668,90
18.25,91
18.333333333333332,84
18.416666666666668,89
18.5,88
18.583333333333332,91
18.666666666666668,91
18.75,91
18.833333333333332,88
18.916666666666668,89
19,87
19.083333333333332,91
19.166666666666668,88
19.25,94
19.333333333333332,89
19.416666666666668,94
19.5,91
19.583333333333332,87
19.666666666666668,93
19.75,89
19.833333333333332,92
19.916666666666668,91
20,90
20.083333333333332,91
20.166666666666668,92
20.25,89
20.333333333333332,95
20.416666666666668,90
20.5,90
20.583333333333332,93
20.666666666666668,91
20.75,91
20.833333333333332,92
20.916666666666668,89
21,92
21.083333333333332,90
21.166666666666668,98
21.25,95
21.333333333333332,91
21.416666666666668,95
21.5,93
21.583333333333332,93
21.666666666666668,92
21.75,95
21.833333333333332,96
21.916666666666668,95
22,95
22.083333333333332,96
22.166666666666668,93
22.25,95
22.333333333333332,97
22.416666666666668,98
22.5,96
22.583333333333332,95
22.666666666666668,96
22.75,94
22.833333333333332,102
22.916666666666668,100
23,102
23.083333333333332,101
23.166666666666668,96
23.25,98
23.333333333333332,95
23.416666666666668,99
23.5,98
23.583333333333332,99
23.666666666666668,101
23.75,99
23.833333333333332,100
23.916666666666668,98
24,102
24.083333333333332,100
24.166666666666668,100
24.25,100
24.333333333333332,99
24.416666666666668,96
24.5,100
24.583333333333332,100
24.666666666666668,97
24.75,98
24.833333333333332,100
24.916666666666668,100
25,100
25.083333333333332,101
25.166666666666668,98
25.25,99
25.333333333333332,97
25.416666666666668,98
25.5,102
25.583333333333332,105
25.666666666666668,101
25.75,105
25.833333333333332,99
25.916666666666668,100
26,102
26.083333333333332,98
26.166666666666668,103
26.25,101
26.333333333333332,102
26.416666666666668,100
26.5,99
26.583333333333332,102
26.666666666666668,103
26.75,100
26.833333333333332,101
26.916666666666668,101
27,100
27.083333333333332,98
27.166666666666668,100
27.25,105
27.333333333333332,98
27.416666666666668,104
27.5,103
27.583333333333332,101
27.666666666666668,102
27.75,101
27.833333333333332,102
27.916666666666668,102
28,102
28.083333333333332,102
28.166666666666668,103
28.25,100
28.333333333333332,102
28.416666666666668,101
28.5,103
28.583333333333332,104
28.666666666666668,100
28.75,99
28.833333333333332,102
28.916666666666668,105
29,103
29.083333333333332,107
29.166666666666668,105
29.25,102
29.333333333333332,102
29.416666666666668,105
29.5,104
29.583333333333332,109
29.666666666666668,108
29.75,105
29.833333333333332,105
29.916666666666668,104
30,107
30.083333333333332,104
30.166666666666668,110
30.25,107
30.333333333333332,110
30.416666666666668,106
30.5,106
30.583333333333332,108
30.666666666666668,106
30.75,104
30.833333333333332,108
30.916666666666668,105
31,106
31.083333333333332,108
31.166666666666668,108
31.25,109
31.333333333333332,108
31.416666666666668,103
31.5,109
31.583333333333332,105
31.666666666666668,103
31.75,104
31.833333333333332,104
31.916666666666668,107
32,107
32.083333333333336,105
32.166666666666664,104
32.25,108
32.333333333333336,106
32.416666666666664,104
32.5,104
32.583333333333336,102
32.666666666666664,103
32.75,105
32.833333333333336,105
32.916666666666664,104
33,104
33.083333333333336,107
33.166666666666664,105
33.25,104
33.333333333333336,107
33.416666666666664,108
33.5,111
33.583333333333336,108
33.666666666666664,107
33.75,104
33.833333333333336,110
33.916666666666664,107
34,106
34.083333333333336,107
34.166666666666664,107
34.25,108
34.333333333333336,109
34.416666666666664,111
34.5,104
34.583333333333336,108
34.666666666666664,104
34.75,107
34.833333333333336,106
34.916666666666664,107
35,103
35.083333333333336,109
35.166666666666664,108
35.25,107
35.333333333333336,107
35.416666666666664,106
35.5,111
35.583333333333336,109
35.666666666666664,105
35.75,109
35.833333333333336,105
35.916666666666664,108
36,106
36.083333333333336,106
36.166666666666664,104
36.25,107
36.333333333333336,109
36.416666666666664,109
36.5,108
36.583333333333336,108
36.666666666666664,107
36.75,108
36.833333333333336,108
36.916666666666664,109
37,110
37.083333333333336,108
37.166666666666664,110
37.25,105
37.333333333333336,111
37.416666666666664,108
37.5,105
37.583333333333336,110
37.666666666666664,113
37.75,106
37.833333333333336,105
37.916666666666664,105
38,109
38.083333333333336,107
38.166666666666664,106
38.25,108
38.333333333333336,110
38.416666666666664,112
38.5,106
38.583333333333336,112
38.666666666666664,108
38.75,110
38.833333333333336,112
38.916666666666664,107
39,107
39.083333333333336,110
39.166666666666664,109
39.25,109
39.333333333333336,108
39.416666666666664,112
39.5,107
39.583333333333336,113
39.666666666666664,108
39.75,110
39.833333333333336,112
39.916666666666664,111
40,114
40.083333333333336,113
40.166666666666664,109
40.25,111
40.333333333333336,114
40.416666666666664,110
40.5,111
40.583333333333336,109
40.666666666666664,108
40.75,112
40.833333333333336,111
40.916666666666664,107
41,107
41.083333333333336,111
41.166666666666664,111
41.25,110
41.333333333333336,109
41.416666666666664,113
41.5,108
41.583333333333336,111
41.666666666666664,114
41.75,107
41.833333333333336,110
41.916666666666664,112
42,112
42.083333333333336,112
42.166666666666664,109
42.25,110
42.333333333333336,110
42.416666666666664,110
42.5,112
42.583333333333336,110
42.666666666666664,107
42.75,111
42.833333333333336,110
42.916666666666664,111
43,109
43.083333333333336,110
43.166666666666664,112
43.25,112
43.333333333333336,109
43.416666666666664,112
43.5,109
43.583333333333336,111
43.666666666666664,111
43.75,112
43.833333333333336,110
43.916666666666664,109
44,113
44.083333333333336,112
44.166666666666664,111
44.25,107
44.333333333333336,115
44.416666666666664,111
44.5,108
44.583333333333336,113
44.666666666666664,109
44.75,110
44.833333333333336,111
44.916666666666664,110
45,113
45.083333333333336,113
45.166666666666664,110
45.25,111
45.333333333333336,115
45.416666666666664,112
45.5,110
45.583333333333336,115
45.666666666666664,113
45.75,112
45.833333333333336,115
45.916666666666664,114
46,110
46.083333333333336,115
46.166666666666664,114
46.25,109
46.333333333333336,112
46.416666666666664,115
46.5,116
46.583333333333336,115
46.666666666666664,110
46.75,113
46.833333333333336,115
46.916666666666664,111
47,113
47.083333333333336,113
47.166666666666664,113
47.25,117
47.333333333333336,111
47.416666666666664,113
47.5,117
47.583333333333336,110
47.666666666666664,116
47.75,113
47.833333333333336,111
47.916666666666664,116