"Hours since thread went live","Shingeki no Kyojin: The Final Season - Episode 73 discussion"
0,4
0,14
0.08333333333333333,50
0.16666666666666666,92
0.25,139
0.3333333333333333,181
0.4166666666666667,228
0.5,289
0.5833333333333334,335
0.6666666666666666,391
0.75,428
0.8333333333333334,487
0.9166666666666666,534
1,611
1.0833333333333333,670
1.1666666666666667,751
1.25,807
1.3333333333333333,882
1.4166666666666667,957
1.5,1017
1.5833333333333333,1095
1.6666666666666667,1180
1.75,1259
1.8333333333333333,1340
1.9166666666666667,1419
2,1527
2.0833333333333335,1621
2.1666666666666665,1708
2.25,1787
2.3333333333333335,1874
2.4166666666666665,1949
2.5,2055
2.5833333333333335,2141
2.6666666666666665,2214
2.75,2312
2.8333333333333335,2409
2.9166666666666665,2533
3,2633
3.0833333333333335,2732
3.1666666666666665,2840
3.25,2948
3.3333333333333335,3051
3.4166666666666665,3165
3.5,3261
3.5833333333333335,3353
3.6666666666666665,3455
3.75,3534
3.8333333333333335,3647
3.9166666666666665,3741
4,3837
4.083333333333333,3937
4.166666666666667,4013
4.25,4106
4.333333333333333,4197
4.416666666666667,4277
4.5,4361
4.583333333333333,4446
4.666666666666667,4540
4.75,4630
4.833333333333333,4723
4.916666666666667,4807
5,4894
5.083333333333333,4997
5.166666666666667,5113
5.25,5218
5.333333333333333,5333
5.416666666666667,5455
5.5,5590
5.583333333333333,5699
5.666666666666667,5799
5.75,5899
5.833333333333333,5997
5.916666666666667,6069
6,6181
6.083333333333333,6248
6.166666666666667,6314
6.25,6393
6.333333333333333,6470
6.416666666666667,6531
6.5,6629
6.583333333333333,6687
6.666666666666667,6759
6.75,6846
6.833333333333333,6909
6.916666666666667,6961
7,7033
7.083333333333333,7094
7.166666666666667,7166
7.25,7228
7.333333333333333,7289
7.416666666666667,7362
7.5,7420
7.583333333333333,7474
7.666666666666667,7544
7.75,7614
7.833333333333333,7653
7.916666666666667,7704
8,7767
8.083333333333334,7832
8.166666666666666,7891
8.25,7925
8.333333333333334,7968
8.416666666666666,8031
8.5,8078
8.583333333333334,8104
8.666666666666666,8155
8.75,8193
8.833333333333334,8234
8.916666666666666,8267
9,8306
9.083333333333334,8350
9.166666666666666,8398
9.25,8447
9.333333333333334,8494
9.416666666666666,8523
9.5,8570
9.583333333333334,8609
9.666666666666666,8651
9.75,8704
9.833333333333334,8739
9.916666666666666,8785
10,8819
10.083333333333334,8852
10.166666666666666,8889
10.25,8924
10.333333333333334,8968
10.416666666666666,9002
10.5,9049
10.583333333333334,9103
10.666666666666666,9134
10.75,9157
10.833333333333334,9183
10.916666666666666,9214
11,9266
11.083333333333334,9295
11.166666666666666,9325
11.25,9356
11.333333333333334,9404
11.416666666666666,9443
11.5,9461
11.583333333333334,9488
11.666666666666666,9523
11.75,9547
11.833333333333334,9581
11.916666666666666,9616
12,9653
12.083333333333334,9678
12.166666666666666,9705
12.25,9736
12.333333333333334,9766
12.416666666666666,9804
12.5,9836
12.583333333333334,9869
12.666666666666666,9912
12.75,9932
12.833333333333334,9950
12.916666666666666,9979
13,10008
13.083333333333334,10049
13.166666666666666,10077
13.25,10122
13.333333333333334,10144
13.416666666666666,10175
13.5,10201
13.583333333333334,10231
13.666666666666666,10243
13.75,10281
13.833333333333334,10306
13.916666666666666,10339
14,10376
14.083333333333334,10396
14.166666666666666,10421
14.25,10438
14.333333333333334,10461
14.416666666666666,10489
14.5,10521
14.583333333333334,10533
14.666666666666666,10553
14.75,10575
14.833333333333334,10597
14.916666666666666,10616
15,10645
15.083333333333334,10672
15.166666666666666,10694
15.25,10711
15.333333333333334,10737
15.416666666666666,10761
15.5,10769
15.583333333333334,10793
15.666666666666666,10808
15.75,10835
15.833333333333334,10846
15.916666666666666,10863
16,10885
16.083333333333332,10902
16.166666666666668,10928
16.25,10946
16.333333333333332,10956
16.416666666666668,10977
16.5,10991
16.583333333333332,11018
16.666666666666668,11039
16.75,11050
16.833333333333332,11066
16.916666666666668,11066
17,11098
17.083333333333332,11110
17.166666666666668,11129
17.25,11145
17.333333333333332,11151
17.416666666666668,11177
17.5,11189
17.583333333333332,11201
17.666666666666668,11214
17.75,11227
17.833333333333332,11250
17.916666666666668,11260
18,11273
18.083333333333332,11290
18.166666666666668,11312
18.25,11325
18.333333333333332,11341
18.416666666666668,11355
18.5,11363
18.583333333333332,11381
18.666666666666668,11392
18.75,11406
18.833333333333332,11413
18.916666666666668,11438
19,11458
19.083333333333332,11473
19.166666666666668,11480
19.25,11501
19.333333333333332,11520
19.416666666666668,11532
19.5,11552
19.583333333333332,11567
19.666666666666668,11590
19.75,11596
19.833333333333332,11628
19.916666666666668,11637
20,11650
20.083333333333332,11664
20.166666666666668,11685
20.25,11710
20.333333333333332,11719
20.416666666666668,11747
20.5,11758
20.583333333333332,11781
20.666666666666668,11790
20.75,11801
20.833333333333332,11824
20.916666666666668,11846
21,11869
21.083333333333332,11880
21.166666666666668,11880
21.25,11885
21.333333333333332,11889
21.416666666666668,11906
21.5,11916
21.583333333333332,11925
21.666666666666668,11940
21.75,11954
21.833333333333332,11950
21.916666666666668,11956
22,11967
22.083333333333332,11968
22.166666666666668,11979
22.25,11979
22.333333333333332,11989
22.416666666666668,11989
22.5,11999
22.583333333333332,12006
22.666666666666668,12013
22.75,12019
22.833333333333332,12027
22.916666666666668,12029
23,12035
23.083333333333332,12034
23.166666666666668,12038
23.25,12042
23.333333333333332,12051
23.416666666666668,12053
23.5,12055
23.583333333333332,12063
23.666666666666668,12072
23.75,12073
23.833333333333332,12076
23.916666666666668,12088
24,12099
24.083333333333332,12096
24.166666666666668,12107
24.25,12111
24.333333333333332,12124
24.416666666666668,12135
24.5,12135
24.583333333333332,12147
24.666666666666668,12162
24.75,12165
24.833333333333332,12171
24.916666666666668,12183
25,12193
25.083333333333332,12196
25.166666666666668,12208
25.25,12215
25.333333333333332,12223
25.416666666666668,12223
25.5,12216
25.583333333333332,12230
25.666666666666668,12230
25.75,12240
25.833333333333332,12250
25.916666666666668,12249
26,12262
26.083333333333332,12264
26.166666666666668,12269
26.25,12271
26.333333333333332,12283
26.416666666666668,12291
26.5,12289
26.583333333333332,12300
26.666666666666668,12298
26.75,12303
26.833333333333332,12304
26.916666666666668,12318
27,12321
27.083333333333332,12322
27.166666666666668,12336
27.25,12338
27.333333333333332,12341
27.416666666666668,12346
27.5,12356
27.583333333333332,12362
27.666666666666668,12360
27.75,12374
27.833333333333332,12367
27.916666666666668,12373
28,12380
28.083333333333332,12380
28.166666666666668,12391
28.25,12391
28.333333333333332,12388
28.416666666666668,12399
28.5,12402
28.583333333333332,12403
28.666666666666668,12415
28.75,12416
28.833333333333332,12415
28.916666666666668,12418
29,12416
29.083333333333332,12431
29.166666666666668,12426
29.25,12437
29.333333333333332,12442
29.416666666666668,12442
29.5,12446
29.583333333333332,12452
29.666666666666668,12456
29.75,12457
29.833333333333332,12460
29.916666666666668,12465
30,12470
30.083333333333332,12476
30.166666666666668,12478
30.25,12485
30.333333333333332,12481
30.416666666666668,12483
30.5,12488
30.583333333333332,12493
30.666666666666668,12489
30.75,12495
30.833333333333332,12488
30.916666666666668,12499
31,12497
31.083333333333332,12499
31.166666666666668,12502
31.25,12500
31.333333333333332,12522
31.416666666666668,12526
31.5,12520
31.583333333333332,12526
31.666666666666668,12523
31.75,12526
31.833333333333332,12534
31.916666666666668,12527
32,12539
32.083333333333336,12529
32.166666666666664,12544
32.25,12540
32.333333333333336,12541
32.416666666666664,12543
32.5,12553
32.583333333333336,12546
32.666666666666664,12553
32.75,12557
32.833333333333336,12561
32.916666666666664,12559
33,12566
33.083333333333336,12570
33.166666666666664,12571
33.25,12575
33.333333333333336,12576
33.416666666666664,12580
33.5,12585
33.583333333333336,12595
33.666666666666664,12591
33.75,12587
33.833333333333336,12592
33.916666666666664,12590
34,12595
34.083333333333336,12601
34.166666666666664,12599
34.25,12597
34.333333333333336,12608
34.416666666666664,12606
34.5,12609
34.583333333333336,12610
34.666666666666664,12606
34.75,12607
34.833333333333336,12612
34.916666666666664,12614
35,12613
35.083333333333336,12618
35.166666666666664,12616
35.25,12627
35.333333333333336,12622
35.416666666666664,12627
35.5,12630
35.583333333333336,12628
35.666666666666664,12639
35.75,12641
35.833333333333336,12645
35.916666666666664,12640
36,12635
36.083333333333336,12645
36.166666666666664,12644
36.25,12646
36.333333333333336,12643
36.416666666666664,12653
36.5,12647
36.583333333333336,12651
36.666666666666664,12656
36.75,12660
36.833333333333336,12661
36.916666666666664,12661
37,12663
37.083333333333336,12661
37.166666666666664,12660
37.25,12659
37.333333333333336,12661
37.416666666666664,12673
37.5,12662
37.583333333333336,12668
37.666666666666664,12672
37.75,12676
37.833333333333336,12664
37.916666666666664,12671
38,12668
38.083333333333336,12668
38.166666666666664,12675
38.25,12682
38.333333333333336,12679
38.416666666666664,12674
38.5,12677
38.583333333333336,12675
38.666666666666664,12677
38.75,12688
38.833333333333336,12683
38.916666666666664,12689
39,12683
39.083333333333336,12680
39.166666666666664,12688
39.25,12691
39.333333333333336,12690
39.416666666666664,12684
39.5,12692
39.583333333333336,12684
39.666666666666664,12688
39.75,12692
39.833333333333336,12697
39.916666666666664,12687
40,12692
40.083333333333336,12696
40.166666666666664,12691
40.25,12689
40.333333333333336,12702
40.416666666666664,12698
40.5,12697
40.583333333333336,12699
40.666666666666664,12696
40.75,12703
40.833333333333336,12699
40.916666666666664,12709
41,12708
41.083333333333336,12707
41.166666666666664,12704
41.25,12711
41.333333333333336,12704
41.416666666666664,12714
41.5,12711
41.583333333333336,12713
41.666666666666664,12721
41.75,12719
41.833333333333336,12716
41.916666666666664,12718
42,12722
42.083333333333336,12718
42.166666666666664,12725
42.25,12729
42.333333333333336,12724
42.416666666666664,12721
42.5,12727
42.583333333333336,12732
42.666666666666664,12731
42.75,12729
42.833333333333336,12731
42.916666666666664,12730
43,12728
43.083333333333336,12727
43.166666666666664,12735
43.25,12735
43.333333333333336,12733
43.416666666666664,12738
43.5,12734
43.583333333333336,12737
43.666666666666664,12740
43.75,12744
43.833333333333336,12746
43.916666666666664,12741
44,12740
44.083333333333336,12742
44.166666666666664,12743
44.25,12745
44.333333333333336,12741
44.416666666666664,12748
44.5,12749
44.583333333333336,12750
44.666666666666664,12749
44.75,12744
44.833333333333336,12751
44.916666666666664,12754
45,12755
45.083333333333336,12763
45.166666666666664,12758
45.25,12765
45.333333333333336,12756
45.416666666666664,12760
45.5,12760
45.583333333333336,12764
45.666666666666664,12760
45.75,12760
45.833333333333336,12764
45.916666666666664,12758
46,12763
46.083333333333336,12769
46.166666666666664,12756
46.25,12761
46.333333333333336,12765
46.416666666666664,12762
46.5,12766
46.583333333333336,12764
46.666666666666664,12765
46.75,12769
46.833333333333336,12766
46.916666666666664,12762
47,12765
47.083333333333336,12770
47.166666666666664,12760
47.25,12768
47.333333333333336,12769
47.416666666666664,12766
47.5,12771
47.583333333333336,12767
47.666666666666664,12771
47.75,12768
47.833333333333336,12770
47.916666666666664,12772